spcd,common_name,Genus,Species,lat_round,affinity,groups
311,Florida maple,Acer,barbatum,29,Temp,Temp
313,boxelder,Acer,negundo,29,Temp,Temp
316,red maple,Acer,rubrum,26,Temp,Temp
345,"mimosa, silktree",Albizia,julibrissin,29,Temp,Temp
853,pond-apple,Annona,glabra,26,Tropical,Tropical
367,pawpaw,Asimina,triloba,29,Temp,Temp
986,black-mangrove,Avicennia,germins,25,Tropical,Tropical
373,river birch,Betula,nigra,30,Temp,Temp
854,gumbo limbo,Bursera,simaruba,25,Tropical,Tropical
391,"American hornbeam, musclewood",Carpinus,carolinia,28,Temp,Temp
409,mockernut hickory,Carya,alba,29,Temp,Temp
401,water hickory,Carya,aquatica,27,Temp,Temp
402,bitternut hickory,Carya,cordiformis,30,Temp,Temp
411,scrub hickory,Carya,florida,28,Temp,Temp
403,pignut hickory,Carya,glabra,27,Temp,Temp
404,pecan,Carya,illinoinensis,30,Temp,Temp
410,sand hickory,Carya,pallida,29,Temp,Temp
422,Allegheny chinkapin,Castanea,pumila,30,Temp,Temp
857,belah,Casuari,lepidophloia,27,Tropical,Tropical
461,sugarberry,Celtis,laevigata,27,Temp,Temp
462,hackberry,Celtis,occidentalis,26,Temp,Temp
471,eastern redbud,Cercis,cadensis,29,Temp,Temp
43,Atlantic white-cedar,Chamaecyparis,thyoides,30,Temp,Evergreen
858,camphortree,Cinmomum,camphora,27,Temp,Temp
863,"tietongue, pigeon-plum",Coccoloba,diversifolia,25,Tropical,Tropical
987,buttonwood-mangrove,Conocarpus,erectus,25,Tropical,Tropical
491,flowering dogwood,Cornus,florida,29,Temp,Temp
501,cockspur hawthorn,Crataegus,crus-galli,30,Temp,Temp
521,common persimmon,Diospyros,virginia,26,Temp,Temp
513,grand eucalyptus,Eucalyptus,grandis,27,Tropical,Tropical
873,red stopper,Eugenia,rhombea,27,Tropical,Tropical
531,American beech,Fagus,grandifolia,29,Temp,Temp
876,Florida strangler fig,Ficus,aurea,26,Tropical,Tropical
541,white ash,Fraxinus,america,29,Temp,Temp
548,Caroli ash,Fraxinus,carolinia,26,Temp,Temp
544,green ash,Fraxinus,pennsylvanica,26,Temp,Temp
545,pumpkin ash,Fraxinus,profunda,28,Temp,Temp
551,waterlocust,Gleditsia,aquatica,28,Temp,Temp
552,honeylocust,Gleditsia,triacanthos,30,Temp,Temp
555,loblolly-bay,Gordonia,lasianthus,27,Temp,Temp
882,"beeftree, longleaf blolly",Guapira,discolor,25,Tropical,Tropical
591,American holly,Ilex,opaca,29,Temp,Temp
602,black walnut,Juglans,nigra,31,Temp,Temp
67,southern redcedar,Juniperus,virginia,28,Tropical,Evergreen
68,eastern redcedar,Juniperus,virginia,28,Temp,Evergreen
988,white-mangrove,Laguncularia,racemosa,25,Tropical,Tropical
611,sweetgum,Liquidambar,styraciflua,27,Temp,Temp
621,yellow-poplar,Liriodendron,tulipifera,30,Temp,Temp
651,cucumbertree,Magnolia,acumita,30,Temp,Temp
652,southern magnolia,Magnolia,grandiflora,28,Temp,Temp
653,sweetbay,Magnolia,virginia,26,Temp,Temp
662,southern crab apple,Malus,angustifolia,30,Temp,Temp
992,melaleuca,Melaleuca,quinquenervia,26,Tropical,Tropical
993,chiberry,Melia,azedarach,28,Temp,Temp
886,Florida poisontree,Metopium,toxiferum,25,Tropical,Tropical
681,white mulberry,Morus,alba,31,Temp,Temp
682,red mulberry,Morus,rubra,26,Temp,Temp
691,water tupelo,Nyssa,aquatica,29,Temp,Temp
694,swamp tupelo,Nyssa,biflora,26,Temp,Temp
692,Ogeechee tupelo,Nyssa,ogeche,31,Temp,Temp
693,blackgum,Nyssa,sylvatica,27,Temp,Temp
701,eastern hophornbeam,Ostrya,virginia,28,Temp,Temp
711,sourwood,Oxydendrum,arboreum,30,Temp,Temp
721,redbay,Persea,borbonia,25,Temp,Temp
107,sand pine,Pinus,clausa,27,Temp,Evergreen
110,shortleaf pine,Pinus,echita,30,Temp,Evergreen
111,slash pine,Pinus,elliottii,25,Temp,Evergreen
115,spruce pine,Pinus,glabra,30,Temp,Evergreen
121,longleaf pine,Pinus,palustris,27,Temp,Evergreen
128,pond pine,Pinus,seroti,28,Temp,Evergreen
131,loblolly pine,Pinus,taeda,28,Temp,Evergreen
722,"water-elm, planertree",Planera,aquatica,29,Temp,Temp
731,American sycamore,Platanus,occidentalis,30,Temp,Temp
744,swamp cottonwood,Populus,heterophylla,30,Temp,Temp
766,American plum,Prunus,america,30,Temp,Temp
762,black cherry,Prunus,seroti,28,Temp,Temp
802,white oak,Quercus,alba,30,Temp,Temp
812,southern red oak,Quercus,falcata,29,Temp,Temp
842,bluejack oak,Quercus,inca,28,Temp,Temp
819,turkey oak,Quercus,laevis,27,Temp,Temp
